id,category_id,category_order,question_type,text
1,1,1,bool,Do you have any issues with your diet?
2,1,2,rate,Rate the quality of food you eat on a daily basis
3,1,3,rate,Rate the vegetables and fruits you eat
4,1,4,rate,Rate the frequency of having snacks
5,1,5,rate,Rate the frequency of eating overnight
6,1,6,text,What do you usually drink throughout the day?
7,1,7,num,How many times do you go out or takeaway per week?
8,2,1,bool,Do you exercise regularly?
9,4,1,bool,Do you have any issues with sleep?
10,4,2,rate,How would you rate the quality of your sleep?
11,4,3,rate,How refreshed do you feel from your sleep?
12,6,1,bool,Do you have any issues with relationship?
